index	44-23:P		44-23:W		44-33:P		44-33:W		30-51:dkv1_of	30-51:W		
0	2.07827788649706	0	2.44814090019569	0	0.0765027322404369	2.40704500978474	
1	2.07827788649706	0	2.44814090019569	0	0.0706521739130436	2.41682974559687	
2	2.07827788649706	0	2.44814090019569	0	0.0681198910081753	2.40704500978474	
3	2.07827788649706	0	2.44814090019569	0	0.0681198910081753	2.40704500978474	
4	2.07827788649706	0	2.44814090019569	0	0.0626702997275217	2.40704500978474	
5	2.07827788649706	0	2.44814090019569	0	0.0540540540540536	2.426614481409	
6	2.07827788649706	0	2.44814090019569	0	0.0540540540540536	2.426614481409	
7	2.07827788649706	0	2.44814090019569	0	0.0432432432432421	2.43639921722114	
8	2.07827788649706	0	2.44814090019569	0	0.0432432432432421	2.426614481409	
9	2.07827788649706	0	2.44814090019569	0	0.0326086956521734	2.426614481409	
10	2.07827788649706	0	2.44814090019569	0	0.0270270270270282	2.426614481409	
11	2.07827788649706	0	2.44814090019569	0	0.0215053763440861	2.43639921722114	
12	2.07827788649706	0	2.44814090019569	0	0.0161290322580649	2.43639921722114	
13	2.07827788649706	0	2.44814090019569	0	0.0134770889487869	2.426614481409	
14	2.07827788649706	0	2.44814090019569	0	0.0080862533692724	2.43639921722114	
15	2.07827788649706	0	2.44814090019569	0	-0.0026954177897580	2.43639921722114	
16	2.07827788649706	0	2.44814090019569	0	-0.0053763440860212	2.43639921722114	
17	2.07827788649706	0	2.44814090019569	0	-0.0080428954423595	2.43639921722114	
18	2.07827788649706	0	2.44814090019569	0	-0.0215053763440861	2.43639921722114	
19	2.07827788649706	0	2.44814090019569	0	-0.0241286863270770	2.44618395303327	
20	2.07827788649706	0	2.44814090019569	0	-0.0348525469168901	2.44618395303327	
21	2.07827788649706	0	2.44814090019569	0	-0.0374331550802144	2.44618395303327	
22	2.07827788649706	0	2.44814090019569	0	-0.0453333333333327	2.4559686888454		
23	2.07827788649706	0	2.44814090019569	0	-0.0537634408602160	2.426614481409	
24	2.07827788649706	0	2.44814090019569	0	-0.0616621983914193	2.43639921722114	
25	2.11350293542074	0	2.50097847358121	0	-0.0673854447439348	2.426614481409	
26	2.11350293542074	0	2.50097847358121	0	-0.0698924731182796	2.43639921722114	
27	2.11350293542074	0	2.50097847358121	0	-0.0781671159029652	2.426614481409	
28	2.11350293542074	0	2.50097847358121	0	-0.0835579514824783	2.426614481409	
29	2.11350293542074	0	2.50097847358121	0	-0.0889487870619942	2.426614481409	
30	2.11350293542074	0	2.50097847358121	0	-0.0967741935483870	2.43639921722114	
31	2.11350293542074	0	2.50097847358121	0	-0.1016042780748672	2.44618395303327	
32	2.11350293542074	0	2.50097847358121	0	-0.1099195710455773	2.44618395303327	
33	2.11350293542074	0	2.50097847358121	0	-0.1229946524064167	2.44618395303327	
34	2.11350293542074	0	2.50097847358121	0	-0.1266846361185999	2.426614481409	
35	2.11350293542074	0	2.50097847358121	0	-0.1313672922252024	2.44618395303327	
36	2.11350293542074	0	2.50097847358121	0	-0.1428571428571421	2.43639921722114	
