param			dkv1_of			G			W			
20.11.2017_17:29:31	0.0765027322404369	37.5733871459961	2.40704500978474	
20.11.2017_17:29:32	0.0706521739130436	37.4755363464355	2.41682974559687	
20.11.2017_17:29:34	0.0681198910081753	37.4755363464355	2.40704500978474	
20.11.2017_17:29:35	0.0681198910081753	37.3776893615723	2.40704500978474	
20.11.2017_17:29:36	0.0626702997275217	37.3776893615723	2.40704500978474	
20.11.2017_17:29:38	0.0540540540540536	37.6712341308594	2.426614481409		
20.11.2017_17:29:39	0.0540540540540536	37.3776893615723	2.426614481409		
20.11.2017_17:29:40	0.0432432432432421	37.279842376709		2.43639921722114	
20.11.2017_17:29:42	0.0432432432432421	37.0841484069824	2.426614481409		
20.11.2017_17:29:43	0.0326086956521734	37.3776893615723	2.426614481409		
20.11.2017_17:29:44	0.0270270270270282	37.5733871459961	2.426614481409		
20.11.2017_17:29:46	0.0215053763440861	37.3776893615723	2.43639921722114	
20.11.2017_17:29:47	0.0161290322580649	37.3776893615723	2.43639921722114	
20.11.2017_17:29:49	0.0134770889487869	37.1819953918457	2.426614481409		
20.11.2017_17:29:50	0.0080862533692724	37.0841484069824	2.43639921722114	
20.11.2017_17:29:51	-0.0026954177897580	37.279842376709		2.43639921722114	
20.11.2017_17:29:53	-0.0053763440860212	37.1819953918457	2.43639921722114	
20.11.2017_17:29:55	-0.0080428954423595	37.3776893615723	2.43639921722114	
20.11.2017_17:29:56	-0.0215053763440861	36.8884544372559	2.43639921722114	
20.11.2017_17:29:57	-0.0241286863270770	36.9863014221191	2.44618395303327	
20.11.2017_17:29:59	-0.0348525469168901	36.9863014221191	2.44618395303327	
20.11.2017_17:30:00	-0.0374331550802144	36.9863014221191	2.44618395303327	
20.11.2017_17:30:01	-0.0453333333333327	36.9863014221191	2.4559686888454		
20.11.2017_17:30:03	-0.0537634408602160	37.279842376709		2.426614481409		
20.11.2017_17:30:04	-0.0616621983914193	37.0841484069824	2.43639921722114	
20.11.2017_17:30:06	-0.0673854447439348	36.9863014221191	2.426614481409		
20.11.2017_17:30:07	-0.0698924731182796	37.0841484069824	2.43639921722114	
20.11.2017_17:30:08	-0.0781671159029652	37.1819953918457	2.426614481409		
20.11.2017_17:30:10	-0.0835579514824783	37.0841484069824	2.426614481409		
20.11.2017_17:30:11	-0.0889487870619942	36.9863014221191	2.426614481409		
20.11.2017_17:30:13	-0.0967741935483870	36.9863014221191	2.43639921722114	
